owner,datasetid,name,description,summary,createdby_agentid,createdby_client,created,updated,visibility,license,tags,summary_clean,Data Origin,Who,What,When,Auto Sync,Cite,Source,Licensing,Updated,About this Dataset,Caption,Proposed sentence,Geographic Coverage,Methodology,Sectoral Coverage,Temporal Converage,Type,Source Description,Unique identifier,License,final_text,final_text1,Text_Analysis
wp-ddw,2018w51-london-bus-safety-performance,2018w51-london-bus-safety-performance,Transport for London quarterly reports that provide analysis of incidents on the London bus network,"--- {""editor"":""simple""} --- **Data Origin:** Open data linked via [@makeovermonday](https://data.world/makeovermonday) **Who:** Dataset owned and managed by Makeover Monday **What:** Quarterly reports produced by Transport for London that provide analysis of incidents on the London bus network. **When:** 2018 **Auto-Sync:** Weekly **Cite:** London Bus Safety, Makeover Monday **_Source:_** [https://data.world/makeovermonday/2018w51](https://data.world/makeovermonday/2018w51)[Transport for London](https://tfl.gov.uk/corporate/publications-and-reports/bus-safety-data)[London Buses Safety Dashboard – Q2](https://tfl.gov.uk/cdn/static/cms/documents/q2-18-london-bus-safety-dashboard.pdf)",willard,prod-user-client,2020-01-31T14:44:54.834,2020-04-24T19:13:52.67,PRIVATE,,open data;transportation;transport for london;safety;performance;accidents;collisions;incidents;injuries;kpi;makeover monday;bus,editorsimpleDataOriginOpendatalinkedviamakeovermondayhttpsdataworldmakeovermondayWhoDatasetownedandmanagedbyMakeoverMondayWhatQuarterlyreportsproducedbyTransportforLondonthatprovideanalysisofincidentsontheLondonbusnetworkWhen2018AutoSyncWeeklyCiteLondonBusSafetyMakeoverMondaySourcehttpsdataworldmakeovermonday2018w51httpsdataworldmakeovermonday2018w51TransportforLondonhttpstflgovukcorporatepublicationsandreportsbussafetydataLondonBusesSafetyDashboardQ2httpstflgovukcdnstaticcmsdocumentsq218londonbussafetydashboardpdf,Open data linked via makeovermonday https data world makeovermonday,Dataset owned and managed by Makeover Monday,Quarterly reports produced by Transport for London that provide analysis of incidents on the London bus network,2018,Weekly,London Bus Safety Makeover Monday,https data world makeovermonday 2018w51 https data world makeovermonday 2018w51 Transport for London https tfl gov uk corporate publications and reports bus safety data London Buses Safety Dashboard Q2 https tfl gov uk cdn static cms documents q2 18 london bus safety dashboard pdf,,,,,,,,,,,,,,,Transport for London quarterly reports that provide analysis of incidents on the London bus networkQuarterly reports produced by Transport for London that provide analysis of incidents on the London bus networkLondon Bus Safety Makeover Monday,"{""sentiment"": [{""magnitude"": 0.0, ""score"": 0.0}], ""entities"": [{""name"": ""Transport for London"", ""type"": ""ORGANIZATION"", ""salience"": 0.14263276755809784, ""wikipedia_url"": ""https://en.wikipedia.org/wiki/Transport_for_London""}, {""name"": ""London"", ""type"": ""LOCATION"", ""salience"": 0.06026603654026985, ""wikipedia_url"": ""https://en.wikipedia.org/wiki/London""}, {""name"": ""incidents"", ""type"": ""EVENT"", ""salience"": 0.055160656571388245, ""wikipedia_url"": ""-""}, {""name"": ""networkQuarterly"", ""type"": ""ORGANIZATION"", ""salience"": 0.0334220789372921, ""wikipedia_url"": ""-""}, {""name"": ""Bus Safety Makeover"", ""type"": ""WORK_OF_ART"", ""salience"": 0.024156466126441956, ""wikipedia_url"": ""-""}, {""name"": ""networkLondon"", ""type"": ""ORGANIZATION"", ""salience"": 0.02323700301349163, ""wikipedia_url"": ""-""}, {""name"": ""incidents"", ""type"": ""EVENT"", ""salience"": 0.017294619232416153, ""wikipedia_url"": ""-""}], ""categories"": [{""name"": ""/Business & Industrial/Transportation & Logistics"", ""confidence"": 0.7200000286102295}]}"
wp-ddw,business-glossary-source,business-glossary-source,,,willard,prod-user-client,2020-03-09T22:37:29.621,2020-04-14T22:14:41.462,PRIVATE,,,,,,,,,,,,,,,,,,,,,,,,,,
wp-ddw,collections-source,collections-source,,,willard,prod-user-client,2020-04-14T21:10:39.773,2020-04-14T21:11:52.783,PRIVATE,,,,,,,,,,,,,,,,,,,,,,,,,,
wp-ddw,datasets-source,datasets-source,,,willard,prod-user-client,2020-04-14T20:50:43.539,2020-04-24T19:18:35.43,PRIVATE,,,,,,,,,,,,,,,,,,,,,,,,,,
wp-ddw,ddw-catalogs-flat,ddw-catalogs-flat,,,willard,prod-user-client,2020-03-09T16:05:13.118,2020-07-31T16:47:17.423,PRIVATE,,,,,,,,,,,,,,,,,,,,,,,,,,
wp-ddw,new-collections,new-collections,,,willard,prod-user-client,2020-07-30T21:06:02.606,2020-07-30T21:43:21.22,PRIVATE,,,,,,,,,,,,,,,,,,,,,,,,,,
wppdatacatalogue,2015-new-years-resolutions,2015 New Year’s resolutions,A Twitter sentiment analysis of users’ 2015 New Year’s resolutions.,"--- {""editor"":""simple""} --- **Data Origin:** Figure Eight **What:** A Twitter sentiment analysis of users’ 2015 New Year’s resolutions. Contains demographic and geographical data of users and resolution categorizations. **When:** 2015 **Auto-Sync:** Weekly **Cite:** 2015 New Year's Resolutions, Figure Eight **Licensing:** Licensed under a [Creative Commons Attribution 4.0 International License](http://creativecommons.org/licenses/by/4.0/). By taking the action of downloading any data set(s), you hereby agree to the associated license terms. Each data set is provided “as is” and any expressed or implied warranties, including, but not limited to, the implied warranties of merchantability and fitness for a particular purpose are disclaimed.",eclerf,prod-user-client,2020-02-24T21:58:51.296,2020-06-24T21:32:18.798,PRIVATE,CC-BY,social media;social networking;twitter;tweets;sentiment;language;new years,editorsimpleDataOriginFigureEightWhatATwittersentimentanalysisofusers2015NewYearsresolutionsContainsdemographicandgeographicaldataofusersandresolutioncategorizationsWhen2015AutoSyncWeeklyCite2015NewYearsResolutionsFigureEightLicensingLicensedunderaCreativeCommonsAttribution40InternationalLicensehttpcreativecommonsorglicensesby40BytakingtheactionofdownloadinganydatasetsyouherebyagreetotheassociatedlicensetermsEachdatasetisprovidedasisandanyexpressedorimpliedwarrantiesincludingbutnotlimitedtotheimpliedwarrantiesofmerchantabilityandfitnessforaparticularpurposearedisclaimed,Figure Eight,,A Twitter sentiment analysis of users 2015 New Year s resolutions Contains demographic and geographical data of users and resolution categorizations,2015,Weekly,2015 New Year s Resolutions Figure Eight,,Licensed under a Creative Commons Attribution 4 0 International License http creativecommons org licenses by 4 0 By taking the action of downloading any data set s you hereby agree to the associated license terms Each data set is provided as is and any expressed or implied warranties including but not limited to the implied warranties of merchantability and fitness for a particular purpose are disclaimed,,,,,,,,,,,,,,A Twitter sentiment analysis of users’ 2015 New Year’s resolutions.A Twitter sentiment analysis of users 2015 New Year s resolutions Contains demographic and geographical data of users and resolution categorizations2015 New Year s Resolutions Figure Eight,"{""sentiment"": [{""magnitude"": 0.0, ""score"": 0.0}], ""entities"": [{""name"": ""users"", ""type"": ""PERSON"", ""salience"": 0.11395849287509918, ""wikipedia_url"": ""-""}, {""name"": ""users"", ""type"": ""PERSON"", ""salience"": 0.07950770109891891, ""wikipedia_url"": ""-""}, {""name"": ""users"", ""type"": ""PERSON"", ""salience"": 0.024896610528230667, ""wikipedia_url"": ""-""}, {""name"": ""2015"", ""type"": ""DATE"", ""salience"": 0.0, ""wikipedia_url"": ""-""}, {""name"": ""2015"", ""type"": ""DATE"", ""salience"": 0.0, ""wikipedia_url"": ""-""}, {""name"": ""Eight"", ""type"": ""NUMBER"", ""salience"": 0.0, ""wikipedia_url"": ""-""}, {""name"": ""2015"", ""type"": ""NUMBER"", ""salience"": 0.0, ""wikipedia_url"": ""-""}, {""name"": ""2015"", ""type"": ""NUMBER"", ""salience"": 0.0, ""wikipedia_url"": ""-""}], ""categories"": [{""name"": ""/Online Communities/Social Networks"", ""confidence"": 0.8199999928474426}]}"
wppdatacatalogue,2016-disability-beneficiaries-blindness-deafness,2016 Disability Beneficiaries Blindness-Deafness,2016 Disability Beneficiaries Blindness-Deafness,"--- {""editor"":""simple""} --- **Data Origin:** Open data linked via @us-ssa-gov **Who:** Dataset provided by Social Security Administration **What:** This file contains the number of people receiving Social Security disability benefits because of blindness or deafness, by state or other area, for FY 2016. **Updated:** 29 March 2019, at [https://catalog.data.gov/organization/ssa-gov](https://catalog.data.gov/organization/ssa-gov) **Cite:** 2016 Disability Beneficiaries Deafness-Blindness, Social Security Administration **_Source:_** [https://catalog.data.gov/dataset/2016-disability-beneficiaries-blindness-deafness](https://catalog.data.gov/dataset/2016-disability-beneficiaries-blindness-deafness)",eclerf,prod-user-client,2020-01-29T18:08:07.141,2020-01-29T18:14:10.679,PRIVATE,,open data;social security;deafness;blindness;disability;hearing;hearing loss;eyesight;benefits,editorsimpleDataOriginOpendatalinkedviausssagovWhoDatasetprovidedbySocialSecurityAdministrationWhatThisfilecontainsthenumberofpeoplereceivingSocialSecuritydisabilitybenefitsbecauseofblindnessordeafnessbystateorotherareaforFY2016Updated29March2019athttpscatalogdatagovorganizationssagovhttpscatalogdatagovorganizationssagovCite2016DisabilityBeneficiariesDeafnessBlindnessSocialSecurityAdministrationSourcehttpscatalogdatagovdataset2016disabilitybeneficiariesblindnessdeafnesshttpscatalogdatagovdataset2016disabilitybeneficiariesblindnessdeafness,Open data linked via us ssa gov,Dataset provided by Social Security Administration,This file contains the number of people receiving Social Security disability benefits because of blindness or deafness by state or other area for FY 2016,,,2016 Disability Beneficiaries Deafness Blindness Social Security Administration,https catalog data gov dataset 2016 disability beneficiaries blindness deafness https catalog data gov dataset 2016 disability beneficiaries blindness deafness,,29 March 2019 at https catalog data gov organization ssa gov https catalog data gov organization ssa gov,,,,,,,,,,,,,2016 Disability Beneficiaries Blindness-DeafnessThis file contains the number of people receiving Social Security disability benefits because of blindness or deafness by state or other area for FY 20162016 Disability Beneficiaries Deafness Blindness Social Security Administration,"{""sentiment"": [{""magnitude"": 0.20000000298023224, ""score"": -0.20000000298023224}], ""entities"": [{""name"": ""people"", ""type"": ""PERSON"", ""salience"": 0.051587555557489395, ""wikipedia_url"": ""-""}, {""name"": ""state"", ""type"": ""LOCATION"", ""salience"": 0.04804239049553871, ""wikipedia_url"": ""-""}, {""name"": ""area"", ""type"": ""LOCATION"", ""salience"": 0.0162397101521492, ""wikipedia_url"": ""-""}, {""name"": ""FY 20162016 Disability Beneficiaries Deafness Blindness Social Security Administration"", ""type"": ""ORGANIZATION"", ""salience"": 0.015329661779105663, ""wikipedia_url"": ""-""}, {""name"": ""2016"", ""type"": ""DATE"", ""salience"": 0.0, ""wikipedia_url"": ""-""}, {""name"": ""20162016"", ""type"": ""NUMBER"", ""salience"": 0.0, ""wikipedia_url"": ""-""}, {""name"": ""2016"", ""type"": ""NUMBER"", ""salience"": 0.0, ""wikipedia_url"": ""-""}], ""categories"": [{""name"": ""/People & Society"", ""confidence"": 0.9800000190734863}, {""name"": ""/Health/Health Conditions"", ""confidence"": 0.9399999976158142}]}"
wppdatacatalogue,2016-usa-presidential-election-results,2016 USA Presidential Election Results,Contains data pertinent to the COVID-19 Political Analysis project for showcasing the capabilities of Data.World.,"--- {""editor"":""simple""} --- Contains county-level election data from 2000 - 2016 in the USA. Sourced via MIT Github. [https://github.com/MEDSL/county-returns/blob/master/countypres\_2000-2016.csv](https://github.com/MEDSL/county-returns/blob/master/countypres_2000-2016.csv)",eclerf,prod-user-client,2020-05-07T21:39:35.96,2020-06-12T17:18:14.814,PRIVATE,Public Domain,politics;election;united states;usa;president;presidential;voting;political,editorsimpleContainscountylevelelectiondatafrom20002016intheUSASourcedviaMITGithubhttpsgithubcomMEDSLcountyreturnsblobmastercountypres20002016csvhttpsgithubcomMEDSLcountyreturnsblobmastercountypres20002016csv,,,,,,,,,,,,,,,,,,,,,,Contains data pertinent to the COVID-19 Political Analysis project for showcasing the capabilities of Data.World.,
wppdatacatalogue,2018w26-london-cycle-hire-usage,2018/W26: London Cycle Hire Usage,London Cycle Hire Usage,"--- {""editor"":""simple""} --- **Data Origin:** Open data linked via [@makeovermonday](/makeovermonday) **Who:** Dataset owned and managed by Makeover Monday **What:** **About this Dataset** * DATA SOURCE: [Transport for London](http://cycling.data.tfl.gov.uk/) * DESIGNER: [Sophie Sparks](https://twitter.com/sophie_sparkes) * INTERACTIVE VERSION: [Tableau Public](https://public.tableau.com/en-us/s/gallery/boris-bikes-daily-usage) 1. To connect to Exasol data source (50M+ records from 2012-2018) use the Tableau Data Source [here](https://fileshare.theinformationlab.co.uk/index.php/s/8xVZze3BZnjl1oh). 2. Details for connecting to Exasol can be found in [this blog post](http://www.makeovermonday.co.uk/big-data/). 3. If you have trouble downloading the CSV from data.world, you can download it [here](https://fileshare.theinformationlab.co.uk/index.php/s/lJwnY5V2I8Frali) instead. 4. The CSV only contains data for 2017. **When:** 2017 **Auto-Sync:** Weekly **Cite:** London Cycle Hire, Makeover Monday **_Source:_** [Transport for London](http://cycling.data.tfl.gov.uk/) ​",eclerf,prod-user-client,2019-12-18T17:44:57.514,2020-01-24T19:36:01.959,PRIVATE,,open data;makeover monday;dataworld;boris bikes;london;uk;transportation;cycling;santander;cycle hire;bike hire;rental;transport for london;tfl,editorsimpleDataOriginOpendatalinkedviamakeovermondaymakeovermondayWhoDatasetownedandmanagedbyMakeoverMondayWhatAboutthisDatasetDATASOURCETransportforLondonhttpcyclingdatatflgovukDESIGNERSophieSparkshttpstwittercomsophiesparkesINTERACTIVEVERSIONTableauPublichttpspublictableaucomenussgalleryborisbikesdailyusage1ToconnecttoExasoldatasource50Mrecordsfrom20122018usetheTableauDataSourceherehttpsfilesharetheinformationlabcoukindexphps8xVZze3BZnjl1oh2DetailsforconnectingtoExasolcanbefoundinthisblogposthttpwwwmakeovermondaycoukbigdata3IfyouhavetroubledownloadingtheCSVfromdataworldyoucandownloaditherehttpsfilesharetheinformationlabcoukindexphpslJwnY5V2I8Fraliinstead4TheCSVonlycontainsdatafor2017When2017AutoSyncWeeklyCiteLondonCycleHireMakeoverMondaySourceTransportforLondonhttpcyclingdatatflgovuk,Open data linked via makeovermonday makeovermonday,Dataset owned and managed by Makeover Monday,,2017,Weekly,London Cycle Hire Makeover Monday,Transport for London http cycling data tfl gov uk,,,DATA SOURCE Transport for London http cycling data tfl gov uk DESIGNER Sophie Sparks https twitter com sophie sparkes INTERACTIVE VERSION Tableau Public https public tableau com en us s gallery boris bikes daily usage 1 To connect to Exasol data source 50M records from 2012 2018 use the Tableau Data Source here https fileshare theinformationlab co uk index php s 8xVZze3BZnjl1oh 2 Details for connecting to Exasol can be found in this blog post http www makeovermonday co uk big data 3 If you have trouble downloading the CSV from data world you can download it here https fileshare theinformationlab co uk index php s lJwnY5V2I8Frali instead 4 The CSV only contains data for 2017,,,,,,,,,,,,London Cycle Hire UsageLondon Cycle Hire Makeover Monday,
